Index,Value
1436,0.770000
1437,0.770000
1438,0.770000
1439,0.770000
1440,0.770000
1441,0.770000
1442,0.770000
1443,0.770000
1444,0.770000
1445,0.770000
1446,0.770000
1447,0.770000
1448,0.770000
1465,0.770000
1466,0.770000
1467,0.770000
1468,0.770000
1469,0.770000
1470,0.770000
1471,0.770000
1472,0.770000
1473,0.770000
1474,0.770000
1475,0.770000
1476,0.770000
1477,0.770000
1494,0.770000
1495,0.770000
1496,0.770000
1497,0.770000
1498,0.770000
1499,0.770000
1500,0.770000
1501,0.770000
1502,0.770000
1503,0.770000
1504,0.770000
1505,0.770000
1506,0.770000
1523,0.770000
1524,0.770000
1525,0.770000
1526,0.770000
1527,0.770000
1528,0.770000
1529,0.770000
1530,0.770000
1531,0.770000
1532,0.770000
1533,0.770000
1534,0.770000
1535,0.770000
1552,0.770000
1553,0.770000
1554,0.770000
1555,0.770000
1556,0.770000
1557,0.770000
1558,0.770000
1559,0.770000
1560,0.770000
1561,0.770000
1562,0.770000
1563,0.770000
1564,0.770000
1581,0.770000
1582,0.770000
1583,0.770000
1584,0.770000
1585,0.770000
1586,0.770000
1587,0.770000
1588,0.770000
1589,0.770000
1590,0.770000
1591,0.770000
1592,0.770000
1593,0.770000
1610,0.770000
1611,0.770000
1612,0.770000
1613,0.770000
1614,0.770000
1615,0.770000
1616,0.770000
1617,0.770000
1618,0.770000
1619,0.770000
1620,0.770000
1621,0.770000
1622,0.770000
1639,0.770000
1640,0.770000
1641,0.770000
1642,0.770000
1643,0.770000
1644,0.770000
1645,0.770000
1646,0.770000
1647,0.770000
1648,0.770000
1649,0.770000
1650,0.770000
1651,0.770000
1668,0.770000
1669,0.770000
1670,0.770000
1671,0.770000
1672,0.770000
1673,0.770000
1674,0.770000
1675,0.770000
1676,0.770000
1677,0.770000
1678,0.770000
1679,0.770000
1680,0.770000
1697,0.770000
1698,0.770000
1699,0.770000
1700,0.770000
1701,0.770000
1702,0.770000
1703,0.770000
1704,0.770000
1705,0.770000
1706,0.770000
1707,0.770000
1708,0.770000
1709,0.770000
1726,0.770000
1727,0.770000
1728,0.770000
1729,0.770000
1730,0.770000
1731,0.770000
1732,0.770000
1733,0.770000
1734,0.770000
1735,0.770000
1736,0.770000
1737,0.770000
1738,0.770000
1755,0.770000
1756,0.770000
1757,0.770000
1758,0.770000
1759,0.770000
1760,0.770000
1761,0.770000
1762,0.770000
1763,0.770000
1764,0.770000
1765,0.770000
1766,0.770000
1767,0.770000
1784,0.770000
1785,0.770000
1786,0.770000
1787,0.770000
1788,0.770000
1789,0.770000
1790,0.770000
1791,0.770000
1792,0.770000
1793,0.770000
1794,0.770000
1795,0.770000
1796,0.770000
3263,0.230000
3264,0.230000
3265,0.230000
3266,0.230000
3267,0.230000
3268,0.230000
3269,0.230000
3270,0.230000
3271,0.230000
3272,0.230000
3273,0.230000
3274,0.230000
3275,0.230000
3292,0.230000
3293,0.230000
3294,0.230000
3295,0.230000
3296,0.230000
3297,0.230000
3298,0.230000
3299,0.230000
3300,0.230000
3301,0.230000
3302,0.230000
3303,0.230000
3304,0.230000
3321,0.230000
3322,0.230000
3323,0.230000
3324,0.230000
3325,0.230000
3326,0.230000
3327,0.230000
3328,0.230000
3329,0.230000
3330,0.230000
3331,0.230000
3332,0.230000
3333,0.230000
3350,0.230000
3351,0.230000
3352,0.230000
3353,0.230000
3354,0.230000
3355,0.230000
3356,0.230000
3357,0.230000
3358,0.230000
3359,0.230000
3360,0.230000
3361,0.230000
3362,0.230000
3379,0.230000
3380,0.230000
3381,0.230000
3382,0.230000
3383,0.230000
3384,0.230000
3385,0.230000
3386,0.230000
3387,0.230000
3388,0.230000
3389,0.230000
3390,0.230000
3391,0.230000
3408,0.230000
3409,0.230000
3410,0.230000
3411,0.230000
3412,0.230000
3413,0.230000
3414,0.230000
3415,0.230000
3416,0.230000
3417,0.230000
3418,0.230000
3419,0.230000
3420,0.230000
3437,0.230000
3438,0.230000
3439,0.230000
3440,0.230000
3441,0.230000
3442,0.230000
3443,0.230000
3444,0.230000
3445,0.230000
3446,0.230000
3447,0.230000
3448,0.230000
3449,0.230000
3466,0.230000
3467,0.230000
3468,0.230000
3469,0.230000
3470,0.230000
3471,0.230000
3472,0.230000
3473,0.230000
3474,0.230000
3475,0.230000
3476,0.230000
3477,0.230000
3478,0.230000
3495,0.230000
3496,0.230000
3497,0.230000
3498,0.230000
3499,0.230000
3500,0.230000
3501,0.230000
3502,0.230000
3503,0.230000
3504,0.230000
3505,0.230000
3506,0.230000
3507,0.230000
3524,0.230000
3525,0.230000
3526,0.230000
3527,0.230000
3528,0.230000
3529,0.230000
3530,0.230000
3531,0.230000
3532,0.230000
3533,0.230000
3534,0.230000
3535,0.230000
3536,0.230000
3553,0.230000
3554,0.230000
3555,0.230000
3556,0.230000
3557,0.230000
3558,0.230000
3559,0.230000
3560,0.230000
3561,0.230000
3562,0.230000
3563,0.230000
3564,0.230000
3565,0.230000
3582,0.230000
3583,0.230000
3584,0.230000
3585,0.230000
3586,0.230000
3587,0.230000
3588,0.230000
3589,0.230000
3590,0.230000
3591,0.230000
3592,0.230000
3593,0.230000
3594,0.230000
3611,0.230000
3612,0.230000
3613,0.230000
3614,0.230000
3615,0.230000
3616,0.230000
3617,0.230000
3618,0.230000
3619,0.230000
3620,0.230000
3621,0.230000
3622,0.230000
3623,0.230000
